id,created_at,author_id,text,lang,username,verified,url,followers_count,following_count,tweet_count
1575998924954816512,2022-09-30 23:59:59+00:00,1575998924954816512,WL Significan @fandcrypto @brotherrex00 @onl9rishi @gagniersue @0xKazu @looke1234 @stopsuspend_eth @SisigNFT @MikayNFT @ghoul3112 @FarukS_CR https://t.co/oS6HPQDs9B,tl,SteveCl09962079,False,https://twitter.com/SteveCl09962079/status/1575998924954816512,0,0,9
1575998924208320512,2022-09-30 23:59:58+00:00,1575998924208320512,"RT @AlphaBlocksNFT: AlphaBlocks🤝🏻NotJustDegen 🌈

•🎟️8x FREE Mints for NotJustDegen
•🎟️2x FREE Mints for AlphaBlocks

To Enter: 
1⃣ Follow…",en,1timnguoithan,False,https://twitter.com/1timnguoithan/status/1575998924208320512,8,661,910
1575998923813986304,2022-09-30 23:59:58+00:00,1575998923813986304,"RT @StandfieldKen: Hi Fam! I hope you are having a great day/night!🥰🥳🙏

E670 #Bitcoin, #Crypto &amp; #stockmarkets + News -  Will the markets h…",en,DannerRudi,False,https://twitter.com/DannerRudi/status/1575998923813986304,322,640,5739
1575998922950004736,2022-09-30 23:59:58+00:00,1575998922950004736,"RT @ElonGoatToken: Holder Submitted Video - and yes we are a bunch of savage CHAD GOATS over here at $EGT

Video Creds https://t.co/aLtMmh2…",en,heatscore777,False,https://twitter.com/heatscore777/status/1575998922950004736,832,2552,82217
1575998921821691904,2022-09-30 23:59:58+00:00,1575998921821691904,"RT @xquieth: FINAL RAFFLE🤑500 WL+5 NFT (worth 2.5 $ETH)🔥

1 @alienfrens #8598
1 @OnChainMonkey Karma#295
1 @Jarritos #151
1 @quirkiesnft #2…",en,PearlGa53996369,False,https://twitter.com/PearlGa53996369/status/1575998921821691904,2,374,124
1575998921541050369,2022-09-30 23:59:58+00:00,1575998921541050369,"RT @Home_Of_T: This good tiger I available at @opensea 
On the @0xPolygon at 0.017 $ETH

-Collectible
-PFP
-Future staking options 
-Can cr…",en,WinkNFT,False,https://twitter.com/WinkNFT/status/1575998921541050369,1953,4975,11365
1575998921460965378,2022-09-30 23:59:58+00:00,1575998921460965378,RT @shadows_eth: @mrtrentonberry @jamesvader1212 I agree. We are all subject to that.  This should be purely art.  How does it make you fee…,en,RaeruINK,False,https://twitter.com/RaeruINK/status/1575998921460965378,13,91,242
1575998921364885504,2022-09-30 23:59:58+00:00,1575998921364885504,RT @Cenksvl1: this beautiful #Avatar  #APE  is only 0.1 #ETH  #NFTsales #openseanft #nftsale #NFTCommunity #NFTSPACESHIP #NFTCollection #nf…,en,kymani_turman,False,https://twitter.com/kymani_turman/status/1575998921364885504,29,36,14
1575998920903254016,2022-09-30 23:59:58+00:00,1575998920903254016,RT @ChainSnake: https://t.co/biLmHNNG5v join #thesandbox and play this #game with us! $sand #bitcoin #metaverse #defichain #nft #polkadot #…,en,MarcialRamona,False,https://twitter.com/MarcialRamona/status/1575998920903254016,37,107,40733
1588016398357471233,2022-11-03 03:53:07+00:00,1588016398357471233,"RT @CourtRutherford: @stoolpresidente @Barstoolpickem @ryanwhitney6 To support our community, I'm announcing 50.000 ETH GIVEAWAY!

First co…",en,HRKK777888666,False,https://twitter.com/HRKK777888666/status/1588016398357471233,5,16,246
1588016398193885184,2022-11-03 03:53:07+00:00,1588016398193885184,"RT @CourtRutherford: @stoolpresidente @Barstoolpickem @ryanwhitney6 To support our community, I'm announcing 50.000 ETH GIVEAWAY!

First co…",en,Niteshs33303616,False,https://twitter.com/Niteshs33303616/status/1588016398193885184,5,7,49
1588016398034419712,2022-11-03 03:53:07+00:00,1588016398034419712,"RT @CourtRutherford: @stoolpresidente @Barstoolpickem @ryanwhitney6 To support our community, I'm announcing 50.000 ETH GIVEAWAY!

First co…",en,Adelinei_Pa,False,https://twitter.com/Adelinei_Pa/status/1588016398034419712,5,273,147
1588016397950586881,2022-11-03 03:53:07+00:00,1588016397950586881,"RT @CourtRutherford: @stoolpresidente @Barstoolpickem @ryanwhitney6 To support our community, I'm announcing 50.000 ETH GIVEAWAY!

First co…",en,nirakarbariki,False,https://twitter.com/nirakarbariki/status/1588016397950586881,5,141,48
1588016397900201986,2022-11-03 03:53:07+00:00,1588016397900201986,free is all needed to hear 🫣 @0xhaseebkhan @Iamvictor24 @jeremyknowsVF @KennyIsGoat @anarchy_0001 @Lutherin_eth @GERONIMOmoney @Delight_Szn @trait_sniper @L3kanOh @its_laitan @mk_bayo @buueth https://t.co/btiGmqTbhE,en,Ramila94534227,False,https://twitter.com/Ramila94534227/status/1588016397900201986,0,27,6
1588016396398743552,2022-11-03 03:53:07+00:00,1588016396398743552,"RT @CourtRutherford: @stoolpresidente @Barstoolpickem @ryanwhitney6 To support our community, I'm announcing 50.000 ETH GIVEAWAY!

First co…",en,siddhantArt88,False,https://twitter.com/siddhantArt88/status/1588016396398743552,5,67,79
1588016396226666499,2022-11-03 03:53:07+00:00,1588016396226666499,"RT @CourtRutherford: @stoolpresidente @Barstoolpickem @ryanwhitney6 To support our community, I'm announcing 50.000 ETH GIVEAWAY!

First co…",en,Grace23Sosa,False,https://twitter.com/Grace23Sosa/status/1588016396226666499,5,77,94
1588016396214177792,2022-11-03 03:53:07+00:00,1588016396214177792,"RT @CourtRutherford: @stoolpresidente @Barstoolpickem @ryanwhitney6 To support our community, I'm announcing 50.000 ETH GIVEAWAY!

First co…",en,WhiteWIZARD__MS,False,https://twitter.com/WhiteWIZARD__MS/status/1588016396214177792,5,118,62
1588016395568091136,2022-11-03 03:53:07+00:00,1588016395568091136,@CourtRutherford @stoolpresidente @Barstoolpickem @ryanwhitney6 Thank you so much! 120 eth sent to my Binance account!,en,RobertSudaria,False,https://twitter.com/RobertSudaria/status/1588016395568091136,1,42,91
1588016395534864384,2022-11-03 03:53:07+00:00,1588016395534864384,"RT @DrSommerNFT: 🚨 QUIRKLING GIVEAWAY 🚨

What’s needed to win this HERO Quirkling 🌈

1) Follow @DrSommerNFT &amp; @jpgFlex_eth  👥

2) Like 👍🏼 &amp;…",en,Meta_Tsun4mi,False,https://twitter.com/Meta_Tsun4mi/status/1588016395534864384,1542,2368,12171
1588016665530232832,2022-11-03 03:54:11+00:00,1588016665530232832,"@collegemenfess Coba tanya ke asprak km, harusnya sih gpp soalnya ada surat dokter atau ga biasanya suruh ngikut praktikum kelas lain",in,tuttyfrutyyy,False,https://twitter.com/tuttyfrutyyy/status/1588016665530232832,148,148,5257
1588016664876322816,2022-11-03 03:54:11+00:00,1588016664876322816,"Pos Presisi Polresta Banyumas hadir untuk memberikan pelayanan kepada masyarakat di desa binaan Bhabinkamtibmas yang ada di wilayah Kabupaten Banyumas
. 
. 
@kapolresta_banyumas 
@humas_poldajateng 
@divisihumaspolri 

#polrestabanyumasbebatiran 
#pospresisipolrestabanyumas https://t.co/Tc8aWeJba5",in,BadhurZ,False,https://twitter.com/BadhurZ/status/1588016664876322816,12,8,674
1588016664855318528,2022-11-03 03:54:11+00:00,1588016664855318528,"Pos Presisi Polresta Banyumas hadir untuk memberikan pelayanan kepada masyarakat di desa binaan Bhabinkamtibmas yang ada di wilayah Kabupaten Banyumas
. 
. 
@kapolresta_banyumas 
@humas_poldajateng 
@divisihumaspolri 

#polrestabanyumasbebatiran 
#pospresisipolrestabanyumas https://t.co/3vzAhYDCY4",in,FaizalDf,False,https://twitter.com/FaizalDf/status/1588016664855318528,2,15,119
1588016664473395205,2022-11-03 03:54:11+00:00,1588016664473395205,RT @doqtahu: Tak ada video ceramah politik yang boleh lawan video mat sabu habis ceramah campak microphone,in,epi_ali,False,https://twitter.com/epi_ali/status/1588016664473395205,707,341,202085
1588016664037101568,2022-11-03 03:54:11+00:00,1588016664037101568,"@L10NLEE ada 2 slot ga kakk?? gapapa deh kalo ada 2 slot, soalnya sm temen jugaa",in,flarfchawe,False,https://twitter.com/flarfchawe/status/1588016664037101568,71,121,845
1588016663034617856,2022-11-03 03:54:11+00:00,1588016663034617856,"@tanyakanrl Lagi dinas diluar kota. Baru sampe sendirian di mess karyawan jadi mau mandi dulu di kamar mandi sharingnya tapi gajadi karna harus antri ada yang lagi mandi. Singkat cerita, pas gue lewat kamar mandinya, udah kosong. Baru ngeh cuma sendirian disitu, tapi kamar mandi basah.",in,260120golden,False,https://twitter.com/260120golden/status/1588016663034617856,1,13,522
1588016662363529222,2022-11-03 03:54:10+00:00,1588016662363529222,"RT @ayubsr: kok ada sih orang yang gak nyadar sama kesalahannya sendiri, ngerasa bener terus.",in,yuyyii45,False,https://twitter.com/yuyyii45/status/1588016662363529222,82,63,5755
