,Unnamed: 0,created_at,author_id,text,lang,entities,username,public_metrics,verified,url,followers_count,following_count,tweet_count,sentiment,sentiment_score
0,0,2022-11-02 03:04:48+00:00,1587641851133272070,who misses crypto 2017?,en,,AmoilsNisa,"{'followers_count': 4896, 'following_count': 1020, 'tweet_count': 11838, 'listed_count': 269}",True,https://twitter.com/AmoilsNisa/status/1587641851133272070,4896,1020,11838,Neutral,0.0
1,1,2022-11-02 03:04:48+00:00,1587641850474926080,"rt @user @user legend! 

can we pay in crypto? 👀",en,"{'mentions': [{'start': 3, 'end': 19, 'username': 'ScottLEOWarrior', 'id': '2228960582'}, {'start': 21, 'end': 30, 'username': 'elonmusk', 'id': '44196397'}]}",renniwyn,"{'followers_count': 143, 'following_count': 2569, 'tweet_count': 8877, 'listed_count': 4}",False,https://twitter.com/renniwyn/status/1587641850474926080,143,2569,8877,Positive,0.8824411034584045
2,2,2022-11-02 03:04:48+00:00,1587641849908690944,this group has been pumping doge $doge over the last week. next week dogecoin will be at 0.5$! the biggest pump will be on sunday. join today   elon crypto ripple cardano,en,,Alkhahoki,"{'followers_count': 288, 'following_count': 5003, 'tweet_count': 88190, 'listed_count': 9}",False,https://twitter.com/Alkhahoki/status/1587641849908690944,288,5003,88190,Positive,0.8930038809776306
3,3,2022-11-02 03:04:48+00:00,1587641849333833729,our journey through time and space as a raki guardian is just beginning in crypto and web3,en,,RakiGuardians,"{'followers_count': 186, 'following_count': 206, 'tweet_count': 352, 'listed_count': 0}",False,https://twitter.com/RakiGuardians/status/1587641849333833729,186,206,352,Neutral,0.0
4,4,2022-11-02 03:04:48+00:00,1587641847580659712,goodluck! @user @user @user @user @user @user @user @user @user ,en,"{'mentions': [{'start': 10, 'end': 23, 'username': 'richardsunda', 'id': '2962104563'}, {'start': 24, 'end': 39, 'username': 'ReturnFrontBTC', 'id': '1134293301937496065'}, {'start': 40, 'end': 50, 'username': 'Poelie011', 'id': '871714742544584705'}, {'start': 51, 'end': 66, 'username': 'Fruitzcanna908', 'id': '221116980'}, {'start': 67, 'end': 80, 'username': 'LozanuRoxana', 'id': '943502796166520832'}, {'start': 81, 'end': 95, 'username': 'AdeyemoIdayat', 'id': '1087759758394830848'}, {'start': 96, 'end': 108, 'username': 'andrewssun3', 'id': '1473240414282928132'}, {'start': 109, 'end': 122, 'username': 'asold_crypto', 'id': '933691148048224256'}, {'start': 123, 'end': 133, 'username': 'yuxuanSu9', 'id': '1045685584830889985'}]}",Olaleka17262292,"{'followers_count': 0, 'following_count': 6, 'tweet_count': 7, 'listed_count': 0}",False,https://twitter.com/Olaleka17262292/status/1587641847580659712,0,6,7,Positive,0.9640693068504333
5,5,2022-11-02 03:04:47+00:00,1587641846129377280,damn i love artgobblers lol @user @user @user @user @user @user @user @user @user @user @user ,en,"{'mentions': [{'start': 28, 'end': 40, 'username': 'buffmonster', 'id': '36014516'}, {'start': 41, 'end': 51, 'username': 'AresKnows', 'id': '1469328116917149699'}, {'start': 52, 'end': 63, 'username': 'RRPunreddy', 'id': '1278012992546799623'}, {'start': 64, 'end': 79, 'username': 'Stormy61689240', 'id': '1431354369203658756'}, {'start': 80, 'end': 93, 'username': 'ThinkingAlts', 'id': '1406987298395197445'}, {'start': 94, 'end': 104, 'username': 'ProtagXBT', 'id': '1433700962728824877'}, {'start': 105, 'end': 114, 'username': 'lutttine', 'id': '1463290898595258374'}, {'start': 115, 'end': 126, 'username': 'Mitreycorp', 'id': '1498781740076306446'}, {'start': 127, 'end': 140, 'username': 'web3lovemore', 'id': '384185988'}, {'start': 141, 'end': 155, 'username': 'txtaan_crypto', 'id': '1483518865183318053'}, {'start': 156, 'end': 169, 'username': 'JacktheDegen', 'id': '980889089858707457'}]}",saad_m_s_5,"{'followers_count': 0, 'following_count': 30, 'tweet_count': 101, 'listed_count': 0}",False,https://twitter.com/saad_m_s_5/status/1587641846129377280,0,30,101,Positive,0.9597642421722412
6,6,2022-11-02 03:04:47+00:00,1587641845382782976,"bitmama is making worldwide crypto payment seamless, asset cradle is making tokenized real estate affordable, and  is incentivizing verified data provision.",en,,victorforcrypto,"{'followers_count': 42, 'following_count': 180, 'tweet_count': 77, 'listed_count': 1}",False,https://twitter.com/victorforcrypto/status/1587641845382782976,42,180,77,Positive,0.7651571035385132
7,7,2022-11-02 03:04:47+00:00,1587641845219459074,@user @user @user @user relistxrp,qme,"{'mentions': [{'start': 0, 'end': 14, 'username': 'Bitboy_Crypto', 'id': '954005112174862336'}, {'start': 15, 'end': 24, 'username': 'coinbase', 'id': '574032254'}, {'start': 25, 'end': 32, 'username': 'Ripple', 'id': '1051053836'}, {'start': 33, 'end': 42, 'username': 'coinbase', 'id': '574032254'}]}",J_Forester89,"{'followers_count': 32, 'following_count': 70, 'tweet_count': 423, 'listed_count': 0}",False,https://twitter.com/J_Forester89/status/1587641845219459074,32,70,423,Neutral,0.0
8,8,2022-11-02 03:04:47+00:00,1587641844699222016,@user milo miloinu cloak     miloinu miloinuarmy cloak cloakarmy bsc bnb      binance  crypto btc      binancesmartchain milo anime cartoonfi  crypto gamefi nft ,qme,"{'mentions': [{'start': 0, 'end': 8, 'username': 'binance', 'id': '877807935493033984'}]}",milo_army2,"{'followers_count': 88, 'following_count': 718, 'tweet_count': 10265, 'listed_count': 1}",False,https://twitter.com/milo_army2/status/1587641844699222016,88,718,10265,Neutral,0.0
9,9,2022-11-02 03:04:47+00:00,1587641844342587393,happy reveal day @user @user @user @user @user ,en,"{'mentions': [{'start': 17, 'end': 28, 'username': 'Dlohofosho', 'id': '1497089028335697923'}, {'start': 29, 'end': 40, 'username': 'velkoskiss', 'id': '1361009027715637251'}, {'start': 41, 'end': 55, 'username': 'crypto_cantno', 'id': '1458155224586244109'}, {'start': 56, 'end': 68, 'username': 'GioiaMattia', 'id': '1488545640896516096'}, {'start': 69, 'end': 83, 'username': 'PaulFowler321', 'id': '1431311810867646464'}]}",Nandkis98234732,"{'followers_count': 0, 'following_count': 3, 'tweet_count': 2, 'listed_count': 0}",False,https://twitter.com/Nandkis98234732/status/1587641844342587393,0,3,2,Positive,0.9876884818077087
