,id,created_at,author_id,text,lang,username,verified,url,followers_count,following_count,tweet_count,sentiment,sentiment_score
0,1575998924954816512,2022-09-30 23:59:59+00:00,1575998924954816512,wl significan @user @user @user @user @user @user @user @user @user @user @user ,tl,SteveCl09962079,False,https://twitter.com/SteveCl09962079/status/1575998924954816512,0,0,9,Neutral,0.0
1,1575998924208320512,2022-09-30 23:59:58+00:00,1575998924208320512,"rt @user alphablocks🤝🏻notjustdegen 🌈

•🎟️8x free mints for notjustdegen
•🎟️2x free mints for alphablocks

to enter: 
1⃣ follow…",en,1timnguoithan,False,https://twitter.com/1timnguoithan/status/1575998924208320512,8,661,910,Neutral,0.0
2,1575998923813986304,2022-09-30 23:59:58+00:00,1575998923813986304,"rt @user hi fam! i hope you are having a great day/night!🥰🥳🙏

e670 bitcoin, crypto &amp; stockmarkets + news -  will the markets h…",en,DannerRudi,False,https://twitter.com/DannerRudi/status/1575998923813986304,322,640,5739,Positive,0.9723881483078003
3,1575998922950004736,2022-09-30 23:59:58+00:00,1575998922950004736,"rt @user holder submitted video - and yes we are a bunch of savage chad goats over here at $egt

video creds ",en,heatscore777,False,https://twitter.com/heatscore777/status/1575998922950004736,832,2552,82217,Positive,0.5490615367889404
4,1575998921821691904,2022-09-30 23:59:58+00:00,1575998921821691904,"rt @user final raffle🤑500 wl+5 nft (worth 2.5 $eth)🔥

1 @user 8598
1 @user karma295
1 @user 151
1 @user 2…",en,PearlGa53996369,False,https://twitter.com/PearlGa53996369/status/1575998921821691904,2,374,124,Neutral,0.0
5,1575998921541050369,2022-09-30 23:59:58+00:00,1575998921541050369,"rt @user this good tiger i available at @user 
on the @user at 0.017 $eth

-collectible
-pfp
-future staking options 
-can cr…",en,WinkNFT,False,https://twitter.com/WinkNFT/status/1575998921541050369,1953,4975,11365,Positive,0.738054096698761
6,1575998921460965378,2022-09-30 23:59:58+00:00,1575998921460965378,rt @user @user @user i agree. we are all subject to that.  this should be purely art.  how does it make you fee…,en,RaeruINK,False,https://twitter.com/RaeruINK/status/1575998921460965378,13,91,242,Neutral,0.0
7,1575998921364885504,2022-09-30 23:59:58+00:00,1575998921364885504,rt @user this beautiful avatar  ape  is only 0.1 eth  nftsales openseanft nftsale nftcommunity nftspaceship nftcollection nf…,en,kymani_turman,False,https://twitter.com/kymani_turman/status/1575998921364885504,29,36,14,Positive,0.8367723822593689
8,1575998920903254016,2022-09-30 23:59:58+00:00,1575998920903254016,rt @user  join thesandbox and play this game with us! $sand bitcoin metaverse defichain nft polkadot …,en,MarcialRamona,False,https://twitter.com/MarcialRamona/status/1575998920903254016,37,107,40733,Positive,0.5709496736526489
9,1588016398357471233,2022-11-03 03:53:07+00:00,1588016398357471233,"rt @user @user @user @user to support our community, i'm announcing 50.000 eth giveaway!

first co…",en,HRKK777888666,False,https://twitter.com/HRKK777888666/status/1588016398357471233,5,16,246,Positive,0.8716091513633728
10,1588016398193885184,2022-11-03 03:53:07+00:00,1588016398193885184,"rt @user @user @user @user to support our community, i'm announcing 50.000 eth giveaway!

first co…",en,Niteshs33303616,False,https://twitter.com/Niteshs33303616/status/1588016398193885184,5,7,49,Positive,0.8716091513633728
11,1588016398034419712,2022-11-03 03:53:07+00:00,1588016398034419712,"rt @user @user @user @user to support our community, i'm announcing 50.000 eth giveaway!

first co…",en,Adelinei_Pa,False,https://twitter.com/Adelinei_Pa/status/1588016398034419712,5,273,147,Positive,0.8716091513633728
12,1588016397950586881,2022-11-03 03:53:07+00:00,1588016397950586881,"rt @user @user @user @user to support our community, i'm announcing 50.000 eth giveaway!

first co…",en,nirakarbariki,False,https://twitter.com/nirakarbariki/status/1588016397950586881,5,141,48,Positive,0.8716091513633728
13,1588016397900201986,2022-11-03 03:53:07+00:00,1588016397900201986,free is all needed to hear 🫣 @user @user @user @user @user @user @user @user @user @user @user @user @user ,en,Ramila94534227,False,https://twitter.com/Ramila94534227/status/1588016397900201986,0,27,6,Neutral,0.0
14,1588016396398743552,2022-11-03 03:53:07+00:00,1588016396398743552,"rt @user @user @user @user to support our community, i'm announcing 50.000 eth giveaway!

first co…",en,siddhantArt88,False,https://twitter.com/siddhantArt88/status/1588016396398743552,5,67,79,Positive,0.8716091513633728
15,1588016396226666499,2022-11-03 03:53:07+00:00,1588016396226666499,"rt @user @user @user @user to support our community, i'm announcing 50.000 eth giveaway!

first co…",en,Grace23Sosa,False,https://twitter.com/Grace23Sosa/status/1588016396226666499,5,77,94,Positive,0.8716091513633728
16,1588016396214177792,2022-11-03 03:53:07+00:00,1588016396214177792,"rt @user @user @user @user to support our community, i'm announcing 50.000 eth giveaway!

first co…",en,WhiteWIZARD__MS,False,https://twitter.com/WhiteWIZARD__MS/status/1588016396214177792,5,118,62,Positive,0.8716091513633728
17,1588016395568091136,2022-11-03 03:53:07+00:00,1588016395568091136,@user @user @user @user thank you so much! 120 eth sent to my binance account!,en,RobertSudaria,False,https://twitter.com/RobertSudaria/status/1588016395568091136,1,42,91,Positive,0.9658894538879395
18,1588016395534864384,2022-11-03 03:53:07+00:00,1588016395534864384,"rt @user 🚨 quirkling giveaway 🚨

what’s needed to win this hero quirkling 🌈

1) follow @user &amp; @user  👥

2) like 👍🏼 &amp;…",en,Meta_Tsun4mi,False,https://twitter.com/Meta_Tsun4mi/status/1588016395534864384,1542,2368,12171,Neutral,0.0
19,1588016665530232832,2022-11-03 03:54:11+00:00,1588016665530232832,"@user coba tanya ke asprak km, harusnya sih gpp soalnya ada surat dokter atau ga biasanya suruh ngikut praktikum kelas lain",in,tuttyfrutyyy,False,https://twitter.com/tuttyfrutyyy/status/1588016665530232832,148,148,5257,Neutral,0.0
20,1588016664876322816,2022-11-03 03:54:11+00:00,1588016664876322816,"pos presisi polresta banyumas hadir untuk memberikan pelayanan kepada masyarakat di desa binaan bhabinkamtibmas yang ada di wilayah kabupaten banyumas
. 
. 
@user 
@user 
@user 

polrestabanyumasbebatiran 
pospresisipolrestabanyumas ",in,BadhurZ,False,https://twitter.com/BadhurZ/status/1588016664876322816,12,8,674,Neutral,0.0
21,1588016664855318528,2022-11-03 03:54:11+00:00,1588016664855318528,"pos presisi polresta banyumas hadir untuk memberikan pelayanan kepada masyarakat di desa binaan bhabinkamtibmas yang ada di wilayah kabupaten banyumas
. 
. 
@user 
@user 
@user 

polrestabanyumasbebatiran 
pospresisipolrestabanyumas ",in,FaizalDf,False,https://twitter.com/FaizalDf/status/1588016664855318528,2,15,119,Neutral,0.0
22,1588016664473395205,2022-11-03 03:54:11+00:00,1588016664473395205,rt @user tak ada video ceramah politik yang boleh lawan video mat sabu habis ceramah campak microphone,in,epi_ali,False,https://twitter.com/epi_ali/status/1588016664473395205,707,341,202085,Neutral,0.0
23,1588016664037101568,2022-11-03 03:54:11+00:00,1588016664037101568,"@user ada 2 slot ga kakk?? gapapa deh kalo ada 2 slot, soalnya sm temen jugaa",in,flarfchawe,False,https://twitter.com/flarfchawe/status/1588016664037101568,71,121,845,Neutral,0.0
24,1588016663034617856,2022-11-03 03:54:11+00:00,1588016663034617856,"@user lagi dinas diluar kota. baru sampe sendirian di mess karyawan jadi mau mandi dulu di kamar mandi sharingnya tapi gajadi karna harus antri ada yang lagi mandi. singkat cerita, pas gue lewat kamar mandinya, udah kosong. baru ngeh cuma sendirian disitu, tapi kamar mandi basah.",in,260120golden,False,https://twitter.com/260120golden/status/1588016663034617856,1,13,522,Neutral,0.0
25,1588016662363529222,2022-11-03 03:54:10+00:00,1588016662363529222,"rt @user kok ada sih orang yang gak nyadar sama kesalahannya sendiri, ngerasa bener terus.",in,yuyyii45,False,https://twitter.com/yuyyii45/status/1588016662363529222,82,63,5755,Neutral,0.0
26,1588016661575368704,2022-11-03 03:54:10+00:00,1588016661575368704,"rt @user @user imo kadang tuh ada orang yang lagi ribut sama orang lain, dia menghasut temen secirclenya buat ikut ngejauhin…",in,klemssi,False,https://twitter.com/klemssi/status/1588016661575368704,136,238,39797,Neutral,0.0
27,1588016661160153088,2022-11-03 03:54:10+00:00,1588016661160153088,@user wahh yg wayang tu kena install apps eh? and dia ada bagi time range ke?,in,syattty,False,https://twitter.com/syattty/status/1588016661160153088,777,684,61520,Neutral,0.0
